epochs,hidden,n_hidden_layers,best_epoch,stop_epoch,loss_train,loss_val,loss_test,mae_train,mae_val,mae_test,pred,true,modelo,k,target_date
500,24,4,124,184,630.7600708007812,261.5209045410156,495.36279296875,21.543869018554688,11.811317443847656,19.780494689941406,30.025888442993164,35.327911376953125,GCN,2,2024-05-04
1000,24,4,124,184,630.7600708007812,261.5209045410156,495.36279296875,21.543869018554688,11.811317443847656,19.780494689941406,30.025888442993164,35.327911376953125,GCN,2,2024-05-04
100,2,6,100,100,1549.401123046875,1183.5936279296875,1332.8515625,29.828166961669922,30.419370651245117,28.670806884765625,0.5835328102111816,35.327911376953125,GCN,2,2024-05-04
200,2,6,200,200,1527.7413330078125,1161.6866455078125,1312.157958984375,29.519433975219727,30.05681610107422,28.33226776123047,0.9261950850486755,35.327911376953125,GCN,2,2024-05-04
400,2,6,400,400,1422.3629150390625,1055.2100830078125,1211.9454345703125,28.447492599487305,28.22685432434082,27.232501983642578,2.632859468460083,35.327911376953125,GCN,2,2024-05-04
500,2,6,500,500,1337.943115234375,969.8375854492188,1131.98486328125,27.649118423461914,26.667953491210938,26.66578483581543,4.081017017364502,35.327911376953125,GCN,2,2024-05-04
1000,2,6,1000,1000,818.2527465820312,439.7898254394531,650.818115234375,22.845685958862305,16.396337509155273,23.159008026123047,16.42193031311035,35.327911376953125,GCN,2,2024-05-04
100,6,6,100,100,1532.4051513671875,1166.3587646484375,1316.603515625,29.585229873657227,30.13448143005371,28.39459228515625,0.8572450876235962,35.327911376953125,GCN,2,2024-05-04
200,6,6,200,200,1479.0101318359375,1112.4290771484375,1265.761962890625,28.992956161499023,29.2247257232666,27.6968994140625,1.7059578895568848,35.327911376953125,GCN,2,2024-05-04
400,6,6,400,400,1216.03564453125,846.4192504882812,1017.3208618164062,26.50257110595703,24.23305320739746,25.785978317260742,6.333211898803711,35.327911376953125,GCN,2,2024-05-04
500,6,6,500,500,1011.8829956054688,638.8798217773438,827.2000732421875,24.656070709228516,20.643503189086914,24.507549285888672,10.752208709716797,35.327911376953125,GCN,2,2024-05-04
1000,6,6,1000,1000,658.4800415039062,267.84234619140625,527.170166015625,22.168773651123047,11.105289459228516,20.488508224487305,27.70646858215332,35.327911376953125,GCN,2,2024-05-04
100,12,6,100,100,1249.0501708984375,874.3162231445312,1044.2972412109375,26.714256286621094,24.84239387512207,25.911123275756836,5.974016189575195,35.327911376953125,GCN,2,2024-05-04
200,12,6,166,200,633.4594116210938,259.6365051269531,497.35784912109375,21.633424758911133,11.721787452697754,19.820789337158203,29.812673568725586,35.327911376953125,GCN,2,2024-05-04
400,12,6,166,226,633.4594116210938,259.6365051269531,497.35784912109375,21.633424758911133,11.721787452697754,19.820789337158203,29.812673568725586,35.327911376953125,GCN,2,2024-05-04
500,12,6,166,226,633.4594116210938,259.6365051269531,497.35784912109375,21.633424758911133,11.721787452697754,19.820789337158203,29.812673568725586,35.327911376953125,GCN,2,2024-05-04
1000,12,6,166,226,633.4594116210938,259.6365051269531,497.35784912109375,21.633424758911133,11.721787452697754,19.820789337158203,29.812673568725586,35.327911376953125,GCN,2,2024-05-04
100,24,6,99,100,633.1128540039062,259.7225036621094,496.2748718261719,21.60489273071289,11.672940254211426,19.853975296020508,29.641101837158203,35.327911376953125,GCN,2,2024-05-04
200,24,6,124,184,632.4027709960938,259.6409912109375,496.78472900390625,21.62126350402832,11.809107780456543,19.77010726928711,29.98931312561035,35.327911376953125,GCN,2,2024-05-04
400,24,6,124,184,632.4027709960938,259.6409912109375,496.78472900390625,21.62126350402832,11.809107780456543,19.77010726928711,29.98931312561035,35.327911376953125,GCN,2,2024-05-04
500,24,6,124,184,632.4027709960938,259.6409912109375,496.78472900390625,21.62126350402832,11.809107780456543,19.77010726928711,29.98931312561035,35.327911376953125,GCN,2,2024-05-04
1000,24,6,124,184,632.4027709960938,259.6409912109375,496.78472900390625,21.62126350402832,11.809107780456543,19.77010726928711,29.98931312561035,35.327911376953125,GCN,2,2024-05-04
